index,CD_GEOCODS,NM_SUBDIST
3379,52087070501,U.T.P. CENTRAL
3414,52087070502,U.T.P. SUL
3433,52087070503,U.T.P. MARISTA
3444,52087070504,U.T.P. OESTE
3479,52087070505,U.T.P. AEROPORTO
3494,52087070506,U.T.P. NORTE FERROVIÁRIO
3500,52087070507,U.T.P. VILA NOVA
3522,52087070508,U.T.P. LESTE UNIVERSITÁRIO
3550,52087070509,U.T.P. JARDIM GOIÁS
3569,52087070510,U.T.P. ALTO DA GLÓRIA E REDENÇÃO
3594,52087070511,U.T.P. SANTO ANTONIO
979,52087070512,U.T.P. PEDRO LUDOVICO/BELA VISTA/JARDINS DAS ESMERALDAS
3631,52087070513,U.T.P. BUENO
3684,52087070514,U.T.P. NOVA SUIÇA
3694,52087070515,U.T.P. PARQUE AMAZÔNIA
139,52087070516,U.T.P. JARDIM AMÉRICA
3772,52087070517,U.T.P. SUDOESTE
150,52087070518,U.T.P. CIDADE JARDIM
153,52087070519,U.T.P. COIMBRA
3865,52087070520,U.T.P. CAMPINAS
3905,52087070521,U.T.P. AEROVIÁRIOS
3924,52087070522,U.T.P. MARECHAL RONDON
3962,52087070523,U.T.P. CRIMÉIA LESTE
3980,52087070524,U.T.P. NEGRÃO DE LIMA
3993,52087070525,U.T.P. BAIRRO FELIZ
990,52087070526,U.T.P. JARDIM NOVO MUNDO
4043,52087070527,U.T.P. RIVIERA/ÁGUA BRANCA
4068,52087070528,U.T.P. AUTÓDROMO OU PARQUE LOZANDES
4078,52087070529,U.T.P. PARQUE DAS LARANJEIRAS E JARDIM DA LUZ
4133,52087070530,U.T.P. JARDIM ATLÂNTICO
4141,52087070531,U.T.P. JARDIM EUROPA
4261,52087070532,U.T.P. NOVO HORIZONTE/FAIÇALVILLE
4303,52087070533,U.T.P. CELINA PARK/RECREIO DOS FUNCIONÁRIOS
4349,52087070534,U.T.P. CARAVELAS
4156,52087070535,U.T.P. BALIZA-ITAIPU
4394,52087070536,U.T.P. PARQUE SANTA RITA
4421,52087070537,U.T.P. PARQUE OESTE INDUSTRIAL
4438,52087070538,U.T.P. JOÃO BRAZ
4473,52087070539,U.T.P. VILA RIZZO
4488,52087070540,U.T.P. PARQUE BOM JESUS
4496,52087070541,U.T.P. VERA CRUZ
4523,52087070542,U.T.P. JARDIM PETRÓPOLIS
4535,52087070543,U.T.P. VILA REGINA/PARQUE INDUSTRIAL PAULISTA/SANTOS DUMONT
4549,52087070544,U.T.P. CÂNDIDA DE MORAIS/MARIA DILCE
4582,52087070545,U.T.P. CAPUAVA
4610,52087070546,U.T.P. URIAS MAGALHÃES
4635,52087070547,U.T.P. GOIÂNIA II
4641,52087070548,U.T.P. SANTA GENOVEVA
4647,52087070549,U.T.P. AEROPORTO INTERNACIONAL SANTA GENOVEVA
4167,52087070550,U.T.P. JAÓ
4171,52087070551,U.T.P. SANTO HILÁRIO
4675,52087070552,U.T.P. VILA PEDROSO
4700,52087070553,U.T.P. CHÁCARAS SÃO JOAQUIM
4178,52087070554,U.T.P. MUTIRÃO E CURITIBA
4753,52087070555,U.T.P. SÃO DOMINGOS
2024,52087070556,U.T.P. FINSOCIAL
4839,52087070557,U.T.P. JARDIM BALNEÁRIO MEIA PONTE/MANSÕES GOIANAS
4867,52087070558,U.T.P. CAMPUS UNIVERSITÁRIO/CONJUNTO ITATIAIA
4880,52087070559,U.T.P. VILA JARDIM SÃO JUDAS TADEU/JARDIM POMPÉIA
4889,52087070560,U.T.P. JARDIM GUANABARA
4922,52087070561,U.T.P. CEASA/ALDEIA DO VALE
4924,52087070562,U.T.P. JARDIM PRIMAVERA (ÁREA URBANA ISOLADA)
4934,52087070563,U.T.P. ZONA RURAL
