placa,modelo,localizacao
BRT-8598,Toyota Corolla,52087070512
ROX-1088,Chevrolet Tracker,52087070522
CYK-2283,Renault Kwid,52087070534
LBR-3070,Volkswagen Golf,52087070503
IAC-4199,Toyota Corolla,52087070504
KVR-4840,Volkswagen Golf,52087070545
VZA-3550,Hyundai Tucson,52087070512
MDG-1494,Fiat Toro,52087070541
BTW-7853,Ford Fiesta,52087070538
ASV-1168,Hyundai Tucson,52087070517
XYP-9163,Ford Fiesta,52087070535
HCX-1789,Audi A3,52087070556
HOK-7356,Jeep Renegade,52087070503
DLV-4757,Toyota Hilux,52087070515
AWT-3977,Jeep Compass,52087070560
OOP-6269,Toyota Corolla,52087070508
JXQ-8712,Honda HR-V,52087070520
HTZ-4963,Volkswagen T-Cross,52087070551
BFW-4413,Hyundai Tucson,52087070560
UYB-2959,Toyota Corolla,52087070526
BHZ-1075,Ford Fiesta,52087070554
UEB-9260,Volkswagen T-Cross,52087070502
CWZ-7337,Nissan Kicks,52087070549
CPN-5358,Volkswagen Golf,52087070521
JLI-3468,Renault Kwid,52087070502
JGA-7738,Fiat Toro,52087070521
TCC-6354,Mitsubishi L200,52087070543
EFU-6086,Jeep Compass,52087070549
VCE-5942,Audi A3,52087070539
HFV-4353,Honda HR-V,52087070531
RXS-6693,Ford Mustang,52087070511
GSM-8243,Ford Fiesta,52087070529
PNL-5641,Chevrolet Tracker,52087070532
SFG-7369,Jeep Renegade,52087070545
CUH-1863,Mitsubishi L200,52087070507
JHN-4453,Chevrolet Cruze,52087070517
CQT-3486,BMW 320i,52087070523
ZQN-2821,Jeep Renegade,52087070529
NCY-4245,Chevrolet Tracker,52087070528
AYK-3528,Jeep Renegade,52087070517
FXU-8797,Fiat Toro,52087070538
FAK-2088,Chevrolet Cruze,52087070563
UIY-6647,Honda Civic,52087070510
NHK-3141,Renault Kwid,52087070517
XDJ-4922,Chevrolet Cruze,52087070551
QLH-0394,Hyundai Tucson,52087070543
ORC-9380,Kia Seltos,52087070505
MEY-0277,Fiat Toro,52087070512
YFW-2533,Chevrolet Cruze,52087070545
AFM-4668,Ford Mustang,52087070559
HJR-2510,Honda Civic,52087070552
RUQ-6929,Renault Kwid,52087070516
DOM-9087,Hyundai Tucson,52087070527
URJ-9382,Audi A3,52087070539
ZMW-1112,Honda Civic,52087070518
UVU-7539,Audi A3,52087070514
DPV-1669,Jeep Renegade,52087070557
RTR-0082,Chevrolet Tracker,52087070516
OLT-7585,Hyundai Tucson,52087070530
ZDN-8315,Toyota Corolla,52087070562
CNL-0060,Jeep Compass,52087070511
RCT-8654,Chevrolet Tracker,52087070521
XXU-5543,Toyota Hilux,52087070544
HKK-4856,Nissan Kicks,52087070548
ZIR-4688,Volkswagen T-Cross,52087070556
SIV-5507,Mitsubishi L200,52087070560
DLD-8320,Nissan Kicks,52087070539
BBJ-9725,Jeep Renegade,52087070560
CJY-1112,Fiat Toro,52087070514
TVV-7386,Kia Seltos,52087070561
FOX-2991,Ford Fiesta,52087070545
XNU-6525,Honda HR-V,52087070522
RQM-4390,Chevrolet Cruze,52087070531
NNT-6607,Chevrolet Cruze,52087070560
QMK-8070,Toyota Corolla,52087070517
AIO-0662,Mitsubishi L200,52087070531
EEL-1290,Ford Fiesta,52087070559
YJG-3600,Toyota Corolla,52087070523
MGA-0589,Chevrolet Cruze,52087070519
CWV-0345,Honda Civic,52087070501
MHL-4760,Toyota Hilux,52087070540
PVP-3140,Jeep Compass,52087070525
YUQ-7295,Kia Seltos,52087070517
PKS-9212,Jeep Renegade,52087070523
YTX-3258,Chevrolet Tracker,52087070542
QPX-7796,Audi A3,52087070536
BKX-3339,Honda Civic,52087070503
HIZ-4612,Chevrolet Tracker,52087070525
SWM-7005,Chevrolet Cruze,52087070512
YBP-9147,Ford Fiesta,52087070556
HCF-5984,BMW 320i,52087070534
DJZ-3776,Volkswagen T-Cross,52087070534
CKW-7407,Mitsubishi L200,52087070501
WTR-0263,Honda HR-V,52087070523
XKA-6803,Honda Civic,52087070545
XYU-7239,Hyundai Tucson,52087070503
TIZ-2494,Mitsubishi L200,52087070562
BZH-1494,BMW 320i,52087070501
KHR-1014,Toyota Corolla,52087070515
WKM-5621,Ford Mustang,52087070550
VOH-3128,Fiat Toro,52087070561
EVE-4625,Renault Kwid,52087070533
YZA-5291,Toyota Corolla,52087070550
UBY-5859,Chevrolet Tracker,52087070508
CKJ-8242,Honda HR-V,52087070507
IEF-8060,Ford Mustang,52087070502
BDE-5002,Jeep Compass,52087070505
TAK-2424,Audi A3,52087070520
WYL-7595,Hyundai Tucson,52087070521
BPN-0886,Mitsubishi L200,52087070559
SUR-1341,Chevrolet Cruze,52087070541
MQS-7161,Volkswagen Golf,52087070510
CFM-6798,Jeep Renegade,52087070521
YPE-2935,Ford Mustang,52087070506
QAB-3357,BMW 320i,52087070501
HKS-8016,Chevrolet Cruze,52087070515
JOA-7051,Honda HR-V,52087070537
NMJ-2347,Ford Mustang,52087070504
TSJ-3501,Toyota Corolla,52087070528
VJU-4697,Ford Fiesta,52087070542
QIA-9189,Nissan Kicks,52087070561
OYR-3148,Chevrolet Tracker,52087070507
MCR-1813,Volkswagen Golf,52087070560
YJR-2830,Jeep Compass,52087070539
NWC-0489,Toyota Hilux,52087070518
RBT-2129,Hyundai Tucson,52087070537
YIQ-4903,Chevrolet Tracker,52087070514
FHR-1728,Toyota Corolla,52087070501
HBX-6111,BMW 320i,52087070526
MQA-3253,Honda Civic,52087070531
CWN-1352,Volkswagen Golf,52087070519
OSX-2904,Chevrolet Cruze,52087070560
HLY-0553,Volkswagen T-Cross,52087070524
GXT-2043,Volkswagen T-Cross,52087070514
VYJ-3907,Nissan Kicks,52087070519
HHV-3056,Hyundai Tucson,52087070518
CAG-5982,Honda HR-V,52087070515
HGR-1638,Renault Kwid,52087070539
LFV-2103,Jeep Renegade,52087070513
WRO-7787,Renault Kwid,52087070530
LCT-3970,Jeep Renegade,52087070522
ZMM-8040,Audi A3,52087070501
UWL-3379,Ford Mustang,52087070553
NXE-0623,Renault Kwid,52087070563
CTR-3920,Fiat Toro,52087070505
VLC-1779,BMW 320i,52087070512
WFV-2950,Audi A3,52087070536
WHW-0855,Chevrolet Tracker,52087070549
TCZ-6719,Fiat Toro,52087070533
SRN-5013,Nissan Kicks,52087070525
UFT-3499,Audi A3,52087070547
JEH-1667,BMW 320i,52087070502
SML-4495,Toyota Hilux,52087070527
SNY-0525,Audi A3,52087070528
XXJ-1653,Kia Seltos,52087070517
DZE-2207,Volkswagen T-Cross,52087070503
PIF-1060,Kia Seltos,52087070509
LLU-3991,Toyota Corolla,52087070545
BRD-0605,Fiat Toro,52087070534
AFA-9223,Honda Civic,52087070501
DSG-2746,Renault Kwid,52087070533
CEC-6778,Mitsubishi L200,52087070551
